XYZ (105953 points)
121.884 30.878 2.413
121.914 30.888 3.127
121.943 30.899 2.031
121.974 30.909 1.744
122.004 30.920 1.000
122.036 30.931 2.114
122.068 30.941 3.000
122.101 30.952 3.223
122.135 30.962 4.842
122.170 30.973 5.000
122.206 30.983 6.000
122.243 30.993 6.943
122.280 31.004 6.952
122.318 31.014 7.041
122.358 31.024 7.841
122.398 31.034 8.128
122.439 31.043 10.000
122.482 31.053 10.889
122.525 31.062 12.966
122.569 31.071 15.906
122.615 31.080 18.421
122.661 31.089 22.012
122.709 31.097 25.970
122.758 31.106 30.314
122.807 31.114 35.484
122.859 31.122 42.854
122.911 31.130 50.539
122.964 31.138 55.170
123.019 31.145 57.165
123.075 31.153 60.264
123.132 31.160 50.000
123.191 31.167 50.376
123.251 31.173 49.441
123.312 31.180 44.184
123.375 31.186 34.267
123.439 31.193 39.798
123.504 31.200 38.747
123.571 31.207 40.965
123.639 31.215 42.000
123.709 31.223 43.438
123.781 31.231 32.666
123.854 31.238 54.886
123.928 31.246 52.000
124.005 31.253 52.000
124.083 31.260 52.865
124.163 31.266 54.651
124.245 31.271 56.099
124.329 31.275 56.233
124.414 31.278 56.000
124.502 31.280 57.455
124.591 31.280 54.077
124.683 31.280 56.222
124.776 31.279 54.450
124.872 31.276 54.135
124.970 31.271 46.665
125.069 31.265 57.577
125.171 31.258 60.139
125.275 31.248 55.124
125.381 31.236 57.600
125.489 31.222 47.763
125.600 31.206 63.142
125.712 31.187 59.370
125.826 31.165 67.358
125.943 31.140 71.092
126.061 31.111 80.821
126.181 31.079 75.869
126.303 31.042 74.000
126.426 31.001 80.308
126.550 30.955 83.331
126.676 30.904 72.240
126.802 30.847 99.220
126.929 30.783 99.992
127.055 30.713 102.989
127.181 30.635 111.040
127.304 30.548 114.255
127.425 30.453 134.213
127.543 30.348 142.112
127.656 30.234 167.975
127.765 30.110 288.955
127.867 29.976 448.101
127.962 29.833 378.142
128.049 29.681 873.338
128.128 29.519 997.618
128.199 29.350 1098.210
128.261 29.172 1100.000
128.316 28.988 1064.476
128.363 28.797 1077.869
128.404 28.599 1130.077
128.437 28.396 1187.655
